Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/5/2017,8.6,Worldhotel Cristoforo Colombo, France , Extremely disappointing stay my single room was minuscule 90x200 bed and provided a shower room instead of the bathroom advertised on Booking com The shower room was so small you could not sit on the toilet because of the shower directly in front the spa attendant did not speak English and couldn t answer my questions I could not go to the spa NO SOUNDPROOFING AT ALL My neighbor took a bath at 1am and it felt like the bathtub was filling in my room needless to say I could not sleep The normal rate of the room was 120 night for an 8sqm room but I felt like a 2nd class guest I got a last minute discount but had I known I would have gone to an Ibis hotel and I would ve spent a better night Sadly won t be coming there again ,148, Ok breakfast ,4,5.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/5/2017,8.6,Worldhotel Cristoforo Colombo, Netherlands , The hotel is ok for 1 night but I was on room 344 and the room was not worth the money The shower was so small I couldn t wash myself witouth touching the dirty walls there was damage all over the room It looked also pretty outdated For 200 eiros the night I expect a lot more ,60, The location was great near a park and the spa was nice as well We only missed a jacuzzi ,21,5.4,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,12/15/2016,8.6,Worldhotel Cristoforo Colombo, Armenia , The staff at the reception is extremely unhelpful rooms are too old the lighting in the barhroom is crap very poor selection at the breakfast,26, The staff at the reception is extremely unhelpful,9,2.5,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,12/2/2016,8.6,Worldhotel Cristoforo Colombo, United Kingdom , Most uncomfortable bed I ve ever slept in Got a back and neck ache on the first night worst still 2nd night benen back 2 day and still in agony Very noisy builders working on hotel at 7 30am Thank you Christoforo Colombo ,45, Cleanliness good breakfast good location polite staff,8,5.8,"[' Business trip ', ' Family with young children ', ' Basic Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,10/22/2016,8.6,Worldhotel Cristoforo Colombo, United Kingdom , Room is tiny wanted to upgrade to double room but it s not much bigger But well this is Europe so can t expect too much At least it s clean and modern ,35, Staff are very helpful and polite especially the guy with glasses at the reception who helped me to sort out wifi problem on my new mac Good breakfast and spa facility great location very convenient ,37,9.2,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,8/9/2016,8.6,Worldhotel Cristoforo Colombo, United Kingdom , the hotel was being renovated so this caused a little disruption on entering workmen milling around the Spa area meant it was uncomfortable entering with a robe on I took the opportunity to have a pedicure in the Spa and while the staff were very pleasant the quality of the pedicure was substandard given the cost of 60 Euro so terrible value for money,65, great location helpful staff good restaurant,7,7.5,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,8/6/2016,8.6,Worldhotel Cristoforo Colombo, Italy , Tiny bathroom and the shower handle was broken but functional,11, I ve stayed here before and both times the staff have been lovely Great location and a great room also with tea making facilities which you don t often get in Italy ,34,9.6,"[' Business trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,7/3/2016,8.6,Worldhotel Cristoforo Colombo, Netherlands , Restaurant is very small without windows Felt like a cellar Breakfast choice is very limited Hotel is under construction now Noisy It was announced on Booking site Unfortunately I did not read it because it was not written on GENERAL INFORMATION ,43, The location is wonderfull very central Parc is very close by Excellent wifi Very friendly professionel staff ,19,9.2,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/23/2016,8.6,Worldhotel Cristoforo Colombo, Czech Republic , The interior is a bit used in certain places wallpaper slightly teared away shower fixed ,17, Breakfast was excellent Very helpful staff Complained about the water pressure and it was solved immediately Comfortable hotel located directly at Corso Buenos Aires ,26,7.5,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,2/21/2016,8.6,Worldhotel Cristoforo Colombo, Hungary , On the lover levels of the hotel the metro noise is very disturbing I can t sleep ,19, The spa and the breakfast is very good The location is also very convenient metro station is front of the hotel Mian Centrale FS is only 4 stop by tram no 5 ,34,7.9,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,2/10/2016,8.6,Worldhotel Cristoforo Colombo, Netherlands , At breakfast no yoghurt and no fresh slices bread Even the uppgraded room and bathroom acceptable but still small,20, Friendlyness off staff Location Free use of hotel umbrellas Free uppgrade to bigger room,15,7.9,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,1/14/2016,8.6,Worldhotel Cristoforo Colombo, Malta , my room had to be changed althought was upgraded due to a smell of drains in the room was sorted hotel was under construction works but their was no noise nor dirt ,34, staff where more than excellent service was super room was lovely,12,10.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,12/21/2015,8.6,Worldhotel Cristoforo Colombo, Serbia , Renovations were reported as per Booking Com site from Nov 28 Dec 28 However renovation had already started even on Nov 19 and the noise was significant and disturbing There was a letter in the room upon arrival regarding this but correct information should have been given beforehand ,50, Excellent location for shopping especially and friendly service ,10,7.5,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 3 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,12/7/2015,8.6,Worldhotel Cristoforo Colombo, United Kingdom , Food in the restaurant over priced and lacking in taste ,12, Very central next to Metro Try to get a room overlooking the street the back rooms are rather lacking ,21,7.9,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,11/13/2015,8.6,Worldhotel Cristoforo Colombo, Poland , Don t pay attention to minor things like some very little noise from the outside as the hotel is located near a busy city intersection and a metro stop metro line going underneath But come on if you want peace and quiet go to the countryside not to the middle of city life and stop complaining that you didn t get a soundproof room ,66, Fabulous breakfast buffet and breakfast team above efficient Freshly squeezed orange juice there is a machine squeezing oranges as you watch wide selection of everything spotless dining hall I just wanted to stay there and keep on eating and drinking Front desk very helpful very kind Location very conveniant literally next to Piazza Venezia metro stop and within a walking distance to the Cathedral Great small single rooms in accordance with the historic building and in line with what a traveller might expect coming into a historic area All smells and sounds you would expect from a big busy city around but nothing to complain about very comfortable very cosy and the staff is just great Will definitely want to keep coming back ,125,9.6,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,11/4/2015,8.6,Worldhotel Cristoforo Colombo, Japan , appointed car parking garage address name was unknow I called Hotel But I could not hear exact address name of garage ,23, underground station is near ,6,7.9,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,10/11/2015,8.6,Worldhotel Cristoforo Colombo, United Kingdom , noise from outside into the room 24 7 If had known would not have booked this extortionate priced hotel with It s small room bathroom shower size tiny not what was expected Fell well below expectations ,38, Staff very friendly helpful good breakfast,7,6.7,"[' Business trip ', ' Couple ', ' Superior Double Room with Spa Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,10/8/2015,8.6,Worldhotel Cristoforo Colombo, United Kingdom , the room very old style the noise from the street in the night one of the busiest one the noise from the tube every time a train was passing by the whole floor and fittings were moving ,39, good central location and breakfast included,7,5.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,9/20/2015,8.6,Worldhotel Cristoforo Colombo, Belgium , out dated small room with small bathroom max worth three stars narrow corridors,14, kind and helpful staff lobby good restaurant nice wellness free wifi,12,6.3,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,9/13/2015,8.6,Worldhotel Cristoforo Colombo, France , The room I had was extremely small and in regards for the price it s not coherent The metro kept passing under shaking my bed from early morning The rooms aren t very good isolated so besides from the metro passing I also heard every activity from neighbor guests But possibly the larger rooms are more comfortable ,59, Polite staff from welcoming to departure Good location close to city center and central station ,17,5.4,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,9/5/2015,8.6,Worldhotel Cristoforo Colombo, Cyprus , An Italian couple were literally doing it in the Spa and there were not staff around to tell them off Even a fake camera might have put them off ,31, Great central location Nice rooms that were very clean ,11,8.3,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 5 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,7/11/2017,8.6,Worldhotel Cristoforo Colombo, France , room was really small automatic light that got on everytime you move,13, Free mini bar very quiet hotel excellent service,9,9.6,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,5/22/2017,8.6,Worldhotel Cristoforo Colombo, Italy , the brioches at morning breackfast,6, Position clean facilities free little bar in the room,10,10.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,5/14/2017,8.6,Worldhotel Cristoforo Colombo, Greece , rooms need some,4, metro station very close,5,7.9,"[' Business trip ', ' Group ', ' Basic Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,4/11/2017,8.6,Worldhotel Cristoforo Colombo, Indonesia , The room was too small for the price we paid ,12, Close to the Metro Train station and also restaurants ,11,8.8,"[' Business trip ', ' Couple ', ' 2 rooms ', ' Stayed 3 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,4/11/2017,8.6,Worldhotel Cristoforo Colombo, Finland , Bathroom a bit small ,6, Excellent and very friendly service good quality ,9,10.0,"[' Business trip ', ' Couple ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/27/2017,8.6,Worldhotel Cristoforo Colombo, Italy , The room is somehow tiny ,7, Great staff very helpful Location is particularly good in Milan and literally two steps from the underground ,19,8.3,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/27/2017,8.6,Worldhotel Cristoforo Colombo, Turkey , Nothing to say ,5, Location and clean interior ,6,8.3,"[' Business trip ', ' Group ', ' Basic Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/12/2017,8.6,Worldhotel Cristoforo Colombo, Russia , SPA entrnce is free but you need to pay 9 euro for set of towel sleepers etc ,19, All was perfect,4,9.6,"[' Business trip ', ' Group ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/6/2017,8.6,Worldhotel Cristoforo Colombo, Iran , Reception was not frinedly No facilities No breakfast No hospitality as any thing like food Or Furit or anything,20, Internet was good ,5,5.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,2/6/2017,8.6,Worldhotel Cristoforo Colombo, Iran , Bed matress was old and uncomfortable,7, The best location near to Buenos Aires street,9,7.1,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,11/11/2016,8.6,Worldhotel Cristoforo Colombo, Denmark , Small room even for single ,7, Nice location Friendly helpfull staff Good breakfast Nice SPA,10,8.8,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 3 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,10/18/2016,8.6,Worldhotel Cristoforo Colombo, United Arab Emirates , Wifi speed can be better ,7, Staff was friendly and helpful Service also was good Location is also very good Clean rooms with adequate facilities ,21,8.3,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,8/21/2016,8.6,Worldhotel Cristoforo Colombo, Saudi Arabia , Rooms are very small ,6, Location was really good,5,6.7,"[' Business trip ', ' Group ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,8/18/2016,8.6,Worldhotel Cristoforo Colombo, Turkey , A little bit small room ,7, Nice location ,4,9.2,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,8/15/2016,8.6,Worldhotel Cristoforo Colombo, Netherlands , parking assistance could have been better,7, great staff excellent breakfast room was outstanding missed daylight however construction outside ,14,9.6,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,7/18/2016,8.6,Worldhotel Cristoforo Colombo, Tajikistan , everything was excellent,4, stuff were very polite and friendly,7,10.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,7/5/2016,8.6,Worldhotel Cristoforo Colombo, United States of America , nothing to complain about ,6, The room was large and had good sunlight the staff were very nice,14,8.3,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,6/24/2016,8.6,Worldhotel Cristoforo Colombo, Slovenia , Size of 1 bed room is quite small for longer staying ,13, Breakfast is very good Staff is awsome ,9,8.3,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,5/14/2016,8.6,Worldhotel Cristoforo Colombo, China , Construction noise cold reception,5, Great location good cleaning in the room,8,5.4,"[' Business trip ', ' Family with older children ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,5/5/2016,8.6,Worldhotel Cristoforo Colombo, Saudi Arabia , Rooms are very small ,6, Staff were nice ,5,6.3,"[' Business trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/26/2016,8.6,Worldhotel Cristoforo Colombo, Turkey , To enter spa you need to wear your bathrope in your room otherwise they dont let you in Nonsense ,21, Restaurant was very good ,6,9.2,"[' Business trip ', ' Family with young children ', ' Small Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/24/2016,8.6,Worldhotel Cristoforo Colombo, Cyprus , You can just about hear the trains running near the hotel ,13, The room was in immaculate condition the location and the off season price was good ,17,9.6,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/6/2016,8.6,Worldhotel Cristoforo Colombo, Lebanon , Pillows are not that comfortable,6, Location staff spa facilities ,6,8.8,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/3/2016,8.6,Worldhotel Cristoforo Colombo, United Arab Emirates , The room was too small the view was very bad,11, The staff is very friendly and helpful,8,7.1,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/3/2016,8.6,Worldhotel Cristoforo Colombo, Canada , No fitness room Single bed ,7, Good location in central Milan Next to Porto Vienzia metro stop The hotel is under renovation ,18,8.3,"[' Business trip ', ' Solo traveler ', ' 2 rooms ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,2/21/2016,8.6,Worldhotel Cristoforo Colombo, Netherlands , Noise of the subway underneath the hotel,8, Service and friendly staff,5,6.3,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,1/14/2016,8.6,Worldhotel Cristoforo Colombo, France , Size of the room and the bathroom really small,10, Globally clean and nice,5,7.1,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,1/14/2016,8.6,Worldhotel Cristoforo Colombo, Palestinian Territory , Shower is very tight and really not comfortable at all,11, Location is great,4,9.2,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,11/29/2015,8.6,Worldhotel Cristoforo Colombo, Latvia , restaurant in hotel were closed at evening,8, Location was great,4,8.8,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,11/15/2015,8.6,Worldhotel Cristoforo Colombo, United Arab Emirates , Room was small no water no adaptor no breakfast included,11, Location of the hotel,5,5.4,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,11/15/2015,8.6,Worldhotel Cristoforo Colombo, Lebanon , Massage at spa,4, Staff location facilities,4,7.5,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,10/3/2015,8.6,Worldhotel Cristoforo Colombo, United Arab Emirates , the rooms are small,5, location renovation staff at reception,6,9.6,"[' Business trip ', ' Solo traveler ', ' 2 rooms ', ' Stayed 2 nights ']"
